Month,Quantity
2011-01,187
2011-02,6
2011-03,191
2011-04,203
2011-05,191
2011-06,159
2011-07,135
2011-08,167
2011-09,174
2011-10,215
2011-11,189
2011-12,64
2012-01,97
2012-02,94
2012-03,278
2012-04,127
2012-05,191
2012-06,144
2012-07,173
2012-08,233
2012-09,178
2012-10,190
2012-11,198
2012-12,91
2013-01,119
2013-02,1
2013-03,224
2013-04,265
2013-05,195
2013-06,172
2013-07,142
2013-08,186
2013-09,230
2013-10,136
2013-11,181
2013-12,93
2014-01,144
2014-02,204
2014-03,172
2014-04,163
2014-05,110
2014-06,107
2014-07,144
2014-08,163
2014-09,265
2014-10,171
2014-11,139
2014-12,154
2015-01,172
2015-02,187
2015-03,192
2015-04,219
2015-05,165
2015-06,172
2015-07,119
2015-08,144
2015-09,241
2015-10,150
2015-11,241
2015-12,71
2016-01,152
2016-02,211
2016-03,140
2016-04,161
2016-05,160
2016-06,173
2016-07,136
2016-08,198
2016-09,182
2016-10,256
2016-11,155
2016-12,128
2017-01,256
2017-02,222
2017-03,203
